Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
2019-11-21,51291,Public,1,,21.478894,-0.235679,1.554573
2019-11-21,51291,Public,2,,20.343441,-0.727839,1.85128
2019-11-21,51291,Public,3,,19.939494,-0.770672,1.930166
2019-11-21,51291,Public,4,,20.099821,-0.754241,1.944062
2019-11-21,51291,Public,5,,20.608772,-0.784816,1.683588
2019-11-21,51291,Public,6,,22.159448,-0.813399,1.252847
2019-11-21,51291,Public,7,,30.445702,-0.881705,-3.522593
2019-11-21,51291,Public,8,,31.449286,-1.253583,0.202869
2019-11-21,51291,Public,9,,26.736522,-1.372661,-0.660817
2019-11-21,51291,Public,10,,25.424656,-1.070955,-0.854389
2019-11-21,51291,Public,11,,22.353312,-1.18681,-2.169878
2019-11-21,51291,Public,12,,21.095074,-1.164099,-1.780827
2019-11-21,51291,Public,13,,20.783813,-1.056514,-1.389673
2019-11-21,51291,Public,14,,19.686206,-0.941967,-1.781827
2019-11-21,51291,Public,15,,19.294997,-0.869988,-1.715015
2019-11-21,51291,Public,16,,19.674781,-0.711205,-1.524014
2019-11-21,51291,Public,17,,21.649694,-0.505622,-1.214684
2019-11-21,51291,Public,18,,26.665731,-0.419218,-0.345051
2019-11-21,51291,Public,19,,24.290698,-0.630915,-1.658387
2019-11-21,51291,Public,20,,23.202106,-0.805856,-1.522038
2019-11-21,51291,Public,21,,22.497228,-0.596453,-1.126319
2019-11-21,51291,Public,22,,21.026014,-0.61403,-0.819956
2019-11-21,51291,Public,23,,19.679822,-0.600289,-0.289889
2019-11-21,51291,Public,24,,18.947724,-0.349779,0.387503
2019-11-21,8445784,Public,1,,22.724578,0.239854,2.324724
2019-11-21,8445784,Public,2,,22.147053,0.363191,2.563862
2019-11-21,8445784,Public,3,,21.787633,0.376994,2.630639
2019-11-21,8445784,Public,4,,22.30489,0.38362,3.01127
2019-11-21,8445784,Public,5,,23.214928,0.414961,3.089967
2019-11-21,8445784,Public,6,,25.425508,0.33603,3.369478
2019-11-21,8445784,Public,7,,39.725453,0.313585,4.561868
2019-11-21,8445784,Public,8,,35.92409,0.507623,2.916467
2019-11-21,8445784,Public,9,,31.537227,0.559327,2.2079
2019-11-21,8445784,Public,10,,29.499716,0.447541,1.702175
2019-11-21,8445784,Public,11,,27.607372,0.503803,1.393569
2019-11-21,8445784,Public,12,,25.9395,0.45732,1.44218
2019-11-21,8445784,Public,13,,24.961932,0.41085,1.321082
2019-11-21,8445784,Public,14,,24.317667,0.379559,1.528108
2019-11-21,8445784,Public,15,,23.742449,0.332843,1.529606
2019-11-21,8445784,Public,16,,23.592572,0.269879,1.412693
2019-11-21,8445784,Public,17,,24.853969,0.243494,1.240475
2019-11-21,8445784,Public,18,,28.553857,0.228121,0.895736
2019-11-21,8445784,Public,19,,27.526879,0.31949,0.627389
2019-11-21,8445784,Public,20,,26.959704,0.345615,1.084089
2019-11-21,8445784,Public,21,,25.45255,0.232573,0.999977
2019-11-21,8445784,Public,22,,23.650353,0.227484,0.962869
2019-11-21,8445784,Public,23,,21.667803,0.199476,0.898327
2019-11-21,8445784,Public,24,,19.955282,0.134835,0.910447
2019-11-21,8394954,Public,1,,22.325077,-0.048939,2.214016
2019-11-21,8394954,Public,2,,21.70394,0.034099,2.449841
2019-11-21,8394954,Public,3,,21.328354,0.043391,2.504963
2019-11-21,8394954,Public,4,,21.795849,0.032399,2.85345
2019-11-21,8394954,Public,5,,22.669729,-0.010108,2.969837
2019-11-21,8394954,Public,6,,25.160475,0.020664,3.419811
2019-11-21,8394954,Public,7,,39.894695,0.06328,4.981415
2019-11-21,8394954,Public,8,,35.974055,0.056001,3.418054
2019-11-21,8394954,Public,9,,31.612799,0.037307,2.805492
2019-11-21,8394954,Public,10,,29.586333,-0.026618,2.262951
2019-11-21,8394954,Public,11,,27.672258,0.017519,1.944739
2019-11-21,8394954,Public,12,,25.73551,-0.03995,1.73546
2019-11-21,8394954,Public,13,,24.751045,-0.055583,1.576628
2019-11-21,8394954,Public,14,,24.269656,-0.038845,1.898501
2019-11-21,8394954,Public,15,,23.897016,-0.041999,2.059015
2019-11-21,8394954,Public,16,,23.872709,-0.025675,1.988384
2019-11-21,8394954,Public,17,,25.117879,-0.033872,1.781751
2019-11-21,8394954,Public,18,,28.90757,-0.036514,1.514084
2019-11-21,8394954,Public,19,,27.691554,-0.014655,1.126209
2019-11-21,8394954,Public,20,,26.991431,0.072753,1.388678
2019-11-21,8394954,Public,21,,25.412746,0.117525,1.075221
2019-11-21,8394954,Public,22,,23.54661,0.153851,0.932759
2019-11-21,8394954,Public,23,,21.641343,0.187187,0.884156
2019-11-21,8394954,Public,24,,19.920402,0.155581,0.854821
2019-11-21,116013753,Public,1,,22.604203,0.287149,2.157054
2019-11-21,116013753,Public,2,,21.958423,0.348903,2.38952
2019-11-21,116013753,Public,3,,21.575183,0.352742,2.442441
2019-11-21,116013753,Public,4,,22.021414,0.343856,2.767558
2019-11-21,116013753,Public,5,,22.922478,0.386909,2.825569
2019-11-21,116013753,Public,6,,25.188511,0.418323,3.050188
2019-11-21,116013753,Public,7,,39.26798,0.741946,3.676034
2019-11-21,116013753,Public,8,,35.826936,0.853411,2.473525
2019-11-21,116013753,Public,9,,31.98541,0.931724,2.283686
2019-11-21,116013753,Public,10,,30.41741,0.888058,2.179352
2019-11-21,116013753,Public,11,,28.353763,0.850778,1.792985
2019-11-21,116013753,Public,12,,26.679892,0.754919,1.884973
2019-11-21,116013753,Public,13,,25.811121,0.688621,1.8925
2019-11-21,116013753,Public,14,,25.186544,0.679042,2.097502
2019-11-21,116013753,Public,15,,24.443503,0.649163,1.91434
2019-11-21,116013753,Public,16,,24.314157,0.577391,1.826766
2019-11-21,116013753,Public,17,,25.63392,0.541047,1.722873
2019-11-21,116013753,Public,18,,29.545364,0.712979,1.402385
2019-11-21,116013753,Public,19,,28.076014,0.717712,0.778302
2019-11-21,116013753,Public,20,,27.324049,0.690223,1.103826
2019-11-21,116013753,Public,21,,25.57188,0.588096,0.763784
2019-11-21,116013753,Public,22,,23.749949,0.509716,0.780233
2019-11-21,116013753,Public,23,,21.828735,0.502223,0.756512
2019-11-21,116013753,Public,24,,20.076929,0.34951,0.817419
2019-11-21,51292,Public,1,,22.875033,0.132981,2.582052
2019-11-21,51292,Public,2,,22.374556,0.336216,2.81834
2019-11-21,51292,Public,3,,21.91646,0.323432,2.813028
2019-11-21,51292,Public,4,,22.576351,0.315515,3.350836
2019-11-21,51292,Public,5,,23.61565,0.289405,3.616245
2019-11-21,51292,Public,6,,26.559308,0.67835,4.160958
2019-11-21,51292,Public,7,,45.448264,1.439378,9.158886
2019-11-21,51292,Public,8,,39.86963,1.139868,6.229762
2019-11-21,51292,Public,9,,33.241671,0.78341,3.688261
2019-11-21,51292,Public,10,,30.732432,0.67245,2.709982
2019-11-21,51292,Public,11,,29.252892,0.664848,2.878044
2019-11-21,51292,Public,12,,27.396743,0.553052,2.803691
2019-11-21,51292,Public,13,,27.084614,0.55151,3.303104
2019-11-21,51292,Public,14,,26.778683,0.543539,3.825144
2019-11-21,51292,Public,15,,26.622404,0.561057,4.181347
2019-11-21,51292,Public,16,,26.161871,0.618505,3.633366
2019-11-21,51292,Public,17,,28.305499,0.74885,4.186649
2019-11-21,51292,Public,18,,32.693468,0.966377,4.297091
2019-11-21,51292,Public,19,,30.855182,0.819602,3.45558
2019-11-21,51292,Public,20,,29.737228,0.878242,3.328986
2019-11-21,51292,Public,21,,28.156646,0.935938,3.000708
2019-11-21,51292,Public,22,,25.288571,0.915732,1.912839
2019-11-21,51292,Public,23,,22.805491,0.770563,1.464928
2019-11-21,51292,Public,24,,20.611217,0.618185,1.083032
2019-11-21,33092371,Public,1,,6.14706,-0.423923,-13.589017
2019-11-21,33092371,Public,2,,2.984533,-0.236966,-15.998501
2019-11-21,33092371,Public,3,,1.826093,-0.240808,-16.713099
2019-11-21,33092371,Public,4,,-0.748051,-0.243739,-19.414312
2019-11-21,33092371,Public,5,,-0.757508,-0.251853,-20.215655
2019-11-21,33092371,Public,6,,-0.967117,-0.47285,-22.214267
2019-11-21,33092371,Public,7,,7.926542,-1.063788,-25.85967
2019-11-21,33092371,Public,8,,12.321506,-0.61377,-19.564724
2019-11-21,33092371,Public,9,,15.466884,-0.39174,-12.911376
2019-11-21,33092371,Public,10,,16.395823,-0.392616,-10.561561
2019-11-21,33092371,Public,11,,16.670821,-0.285032,-8.754147
2019-11-21,33092371,Public,12,,15.901945,-0.090989,-8.047066
2019-11-21,33092371,Public,13,,15.14787,-0.098363,-7.983767
2019-11-21,33092371,Public,14,,13.473993,-0.104903,-8.831104
2019-11-21,33092371,Public,15,,12.961812,-0.133254,-8.784934
2019-11-21,33092371,Public,16,,13.226939,-0.243887,-8.439174
2019-11-21,33092371,Public,17,,14.116748,-0.429895,-8.823357
2019-11-21,33092371,Public,18,,18.32869,-0.591909,-8.509401
2019-11-21,33092371,Public,19,,20.259834,-0.499832,-5.820334
2019-11-21,33092371,Public,20,,19.448205,-0.557679,-5.524116
2019-11-21,33092371,Public,21,,18.680038,-0.722277,-4.817685
2019-11-21,33092371,Public,22,,17.389963,-0.664759,-4.405278
2019-11-21,33092371,Public,23,,15.896075,-0.644591,-4.029334
2019-11-21,33092371,Public,24,,13.935337,-0.72213,-4.252533
2019-11-21,34508503,Public,1,,23.282377,0.932039,2.190338
2019-11-21,34508503,Public,2,,22.644135,1.002587,2.421548
2019-11-21,34508503,Public,3,,22.254221,1.002386,2.471835
2019-11-21,34508503,Public,4,,22.752572,1.025182,2.81739
2019-11-21,34508503,Public,5,,23.87024,1.163879,2.996361
2019-11-21,34508503,Public,6,,26.190888,1.181567,3.289321
2019-11-21,34508503,Public,7,,40.922195,1.869491,4.202704
2019-11-21,34508503,Public,8,,37.676164,1.988311,3.187853
2019-11-21,34508503,Public,9,,33.160159,1.856535,2.533624
2019-11-21,34508503,Public,10,,31.387331,1.697586,2.339745
2019-11-21,34508503,Public,11,,29.333825,1.676034,1.947791
2019-11-21,34508503,Public,12,,27.524096,1.57565,1.908446
2019-11-21,34508503,Public,13,,26.679922,1.506552,1.94337
2019-11-21,34508503,Public,14,,26.025906,1.429244,2.186662
2019-11-21,34508503,Public,15,,25.383008,1.340822,2.162186
2019-11-21,34508503,Public,16,,25.266088,1.255496,2.100592
2019-11-21,34508503,Public,17,,26.763742,1.28086,2.112882
2019-11-21,34508503,Public,18,,30.79119,1.55389,1.8073
2019-11-21,34508503,Public,19,,29.455559,1.601688,1.273871
2019-11-21,34508503,Public,20,,28.67673,1.536625,1.610105
2019-11-21,34508503,Public,21,,26.876273,1.248336,1.407937
2019-11-21,34508503,Public,22,,24.533273,1.125231,0.948042
2019-11-21,34508503,Public,23,,22.31249,0.919352,0.823138
2019-11-21,34508503,Public,24,,20.475996,0.73249,0.833506
2019-11-21,34964545,Public,1,,22.654363,0.15412,2.340243
2019-11-21,34964545,Public,2,,22.132265,0.347173,2.565092
2019-11-21,34964545,Public,3,,21.73614,0.353589,2.602551
2019-11-21,34964545,Public,4,,22.276595,0.340785,3.02581
2019-11-21,34964545,Public,5,,23.162924,0.265681,3.187243
2019-11-21,34964545,Public,6,,25.699076,0.414322,3.564754
2019-11-21,34964545,Public,7,,41.666948,0.522118,6.29483
2019-11-21,34964545,Public,8,,37.008016,0.537173,3.970843
2019-11-21,34964545,Public,9,,31.882069,0.380996,2.731073
2019-11-21,34964545,Public,10,,29.623589,0.171555,2.102034
2019-11-21,34964545,Public,11,,28.020972,0.26934,2.041632
2019-11-21,34964545,Public,12,,26.230004,0.173145,2.016859
2019-11-21,34964545,Public,13,,25.58348,0.198868,2.154612
2019-11-21,34964545,Public,14,,25.069281,0.145126,2.514155
2019-11-21,34964545,Public,15,,24.724294,0.145334,2.69896
2019-11-21,34964545,Public,16,,24.515202,0.194774,2.410428
2019-11-21,34964545,Public,17,,25.889994,0.283315,2.236679
2019-11-21,34964545,Public,18,,29.284488,0.26116,1.593328
2019-11-21,34964545,Public,19,,28.092837,0.304599,1.208238
2019-11-21,34964545,Public,20,,27.736042,0.483172,1.72287
2019-11-21,34964545,Public,21,,26.342719,0.539191,1.583528
2019-11-21,34964545,Public,22,,24.2764,0.531515,1.284885
2019-11-21,34964545,Public,23,,22.15336,0.501092,1.082268
2019-11-21,34964545,Public,24,,20.280294,0.426456,0.943838
2019-11-21,51293,Public,1,,21.775305,0.177684,1.437621
2019-11-21,51293,Public,2,,20.762241,-0.291245,1.833486
2019-11-21,51293,Public,3,,20.327079,-0.365641,1.91272
2019-11-21,51293,Public,4,,20.348864,-0.35298,1.791844
2019-11-21,51293,Public,5,,20.838997,-0.353411,1.482408
2019-11-21,51293,Public,6,,22.309016,-0.301744,0.89076
2019-11-21,51293,Public,7,,30.55974,0.075866,-4.366126
2019-11-21,51293,Public,8,,32.556775,-0.36411,0.420885
2019-11-21,51293,Public,9,,28.183429,-0.638985,0.052414
2019-11-21,51293,Public,10,,27.158154,-0.490702,0.298856
2019-11-21,51293,Public,11,,24.598421,-0.675126,-0.436453
2019-11-21,51293,Public,12,,22.375868,-0.76469,-0.899442
2019-11-21,51293,Public,13,,21.663988,-0.692171,-0.873841
2019-11-21,51293,Public,14,,20.326194,-0.565306,-1.5185
2019-11-21,51293,Public,15,,19.659013,-0.486454,-1.734533
2019-11-21,51293,Public,16,,20.210696,-0.307946,-1.391358
2019-11-21,51293,Public,17,,22.824454,-0.082582,-0.462964
2019-11-21,51293,Public,18,,27.783064,0.182947,0.170117
2019-11-21,51293,Public,19,,26.636786,-0.034158,0.090944
2019-11-21,51293,Public,20,,24.157271,-0.224733,-1.147996
2019-11-21,51293,Public,21,,23.236851,-0.04974,-0.933409
2019-11-21,51293,Public,22,,21.954518,-0.181428,-0.324054
2019-11-21,51293,Public,23,,20.326834,-0.203349,-0.039817
2019-11-21,51293,Public,24,,19.311925,0.004939,0.396986
2019-11-21,37737283,Public,1,,22.025444,-0.274556,2.14
2019-11-21,37737283,Public,2,,21.3625,-0.21648,2.35898
2019-11-21,37737283,Public,3,,21.022386,-0.187614,2.43
2019-11-21,37737283,Public,4,,21.47271,-0.194842,2.757552
2019-11-21,37737283,Public,5,,22.313592,-0.211818,2.81541
2019-11-21,37737283,Public,6,,24.510262,-0.239738,3.03
2019-11-21,37737283,Public,7,,38.327762,-0.196809,3.674571
